Tiempo,Dilatacion,Temperatura,Densidad,Volumen,Presion,salinidad,F7,F8,Respuesta
1,0,18.939856026513336,24.995177420567586,78.39415956050027,-0.32256670533476334,11.26551420331841,10.491437223896533,7.680646225321036,1
2,4,37.819936818394574,28.59909593971862,22.625468426440772,-0.3270422922236565,10.217276323113587,9.89017173858678,3.055807890601039,0
3,2,69.21536051588308,34.269344821756576,38.54913153771038,-1.7245579039733432,10.56627306794486,9.61462169230965,2.097044473875936,1
4,7,33.6212488133372,40.90167546508625,98.84076949584995,-2.566633745381176,9.857426887000381,8.665109225914046,8.660069819626493,0
5,6,22.066293871920784,23.538953889961384,97.17176601266587,0.7596436035903162,10.786669272327664,8.610553523646704,12.806952164160252,1
6,5,84.91351330093873,15.576939283307496,49.52016582787789,-0.023383611886694654,9.712083509327618,9.835166713636234,9.423412734088137,1
7,1,90.81866157884315,33.68839012646955,65.535133601616,-0.948537371382683,8.743730344740715,10.49859789917598,6.21182516965856,0
8,3,42.707732015194736,43.83438908798346,56.63637514092492,-0.7320785736504025,8.146813746859394,10.084949922462151,6.499116736778863,0
9,8,95.3883106287173,30.98371284868708,33.5961333879728,0.2310579477255787,10.138954114696784,9.816249097860862,11.222442508735647,1
10,2,37.261807339601646,28.691614821425123,91.51856300773375,-0.2614138372380228,11.073250449360915,8.821435149632975,5.412980308479521,0
11,7,47.48898051511182,32.287748245229864,35.5775728084252,-0.595153190129086,8.662927463485946,9.43266567404298,6.826102138193512,1
12,4,62.58525772428117,15.627994710232942,66.94905969520244,0.15550762177942135,8.49170549693454,9.314626519778573,-0.005460040348616246,0
13,7,88.90669586239613,12.130922493987732,18.26734823461026,-1.4276771332753841,9.710033108904943,11.324496509346805,5.138899223566467,0
14,2,5.084060320369499,29.432883366818317,65.49634717089936,-0.033713954810972266,9.625143507008628,11.23879305055081,8.257765858637722,1
15,5,44.399668808639625,32.18883661071051,14.505577253416144,-0.014821701283495801,9.110501200469457,10.635949542222043,7.716746694129018,1
16,4,95.46957529651216,10.66234528779023,44.097164076016746,-0.19443715761694066,9.459915472130461,8.988242659896219,13.281470307816484,1
17,9,80.59826822574794,13.1679851720892,92.57125364739812,0.6247179416061225,10.311165515057233,11.006222785566205,22.240851368910768,0
18,2,74.12483600757919,31.72737117643379,91.90022501026527,0.14001004348357884,10.364071829953343,9.261128305807118,10.132730281390954,1
19,2,7.720274739996413,10.460097618865628,39.29968654583461,-0.8521228695105295,13.97317646484637,10.191455752598992,14.729159034319327,0
20,4,15.022305442389438,31.466981966413332,18.817775736876253,-0.4243610940804312,10.659315607361481,9.432013788118779,5.295646361720768,1
21,3,61.85787728424703,16.981641407753024,32.754394447807094,-0.1559118731149329,9.060891405448828,11.505066940073394,8.026110719045002,1
22,9,65.35727227818487,37.171031975008134,50.063571440832256,-0.23834497102124272,9.131799716783036,9.728053022490837,8.682417989517266,0
23,6,34.55200056137922,44.87735169297923,78.98440028205871,0.3594899429864282,11.810111442078584,11.344248526203515,10.83231750078438,0
24,3,44.03835241195427,36.58319750904356,72.40566688919048,-0.8341910584087603,10.756896963167051,10.267114567005212,3.266859544612137,1
25,6,37.660212988626384,39.99150732747849,79.16217659527132,-1.8313717890070143,10.593436403638666,10.545469492126713,8.576796947114707,1
26,7,11.677026613634467,40.254053900350684,61.66634563648738,-0.721346634765098,10.150067809938333,8.864122703718511,2.48236473473555,0
27,1,99.19480841025356,49.50445128142509,79.6066173961166,-0.36878098124058045,9.664558640628687,8.4185298160714,9.726040044613052,0
28,6,66.55018785059768,19.853099446628843,87.49319043645771,-0.9676614694742928,10.553555733998436,8.747133313114993,14.728444506290584,1
29,7,10.437517728005673,39.0332503061682,29.505658905692492,-1.128645057300739,9.751512137425525,8.484346092385286,18.985857510254178,1
30,9,92.52625680373595,36.99518556781392,24.232807020288757,0.10224767519385652,8.465133506321038,8.849378554237713,13.402281556808928,1
31,3,41.03106021334053,25.009516698363452,80.9021892867517,1.2548757192988202,10.298808791583438,8.985078323525734,9.846528860150453,0
32,8,38.55238369204387,12.34736187056031,50.17822454053886,0.7064916476130875,9.248286543938237,9.926786288950888,11.953389643077335,0
33,10,90.9050547916303,24.533274465897534,80.09475413199716,0.053162867066012566,12.063860339062387,10.60552300992283,8.056940508364082,1
34,2,45.135963414600745,22.476578508733517,79.57782888165211,-1.206534216916163,10.057683982063788,9.892969273920556,15.144639145590435,1
35,6,40.549445628012016,47.85602014612698,16.54146901580565,-1.4709484417956178,9.106724150550098,10.471998735478685,9.919959021617423,1
36,9,12.872930791687354,44.96256654750427,22.49396785063053,-0.6491533164399004,9.82630749748128,8.440943161830376,7.525042037230763,1
37,3,19.730793268869796,26.82589840833373,48.01085259256569,-0.37045260466443963,9.675427888682986,10.306037247139312,8.410921161606064,1
38,10,32.20772720971511,45.97749609471675,74.9157512496061,-1.1620398651897401,10.468471264137218,11.663067767498761,17.021016145020447,0
39,6,18.872612171112014,17.811652812603302,26.892538009625962,0.07068350672100004,9.5939457224738,10.219158332605188,9.918694577823704,1
